year,range,type,nhd_num,count,rate,total_pop
2017,partial,violent,10,6,2.2186290531035153,2704.3727709266846
2017,partial,violent,11,6,2.690599229853662,2229.986515058332
2017,partial,violent,12,14,4.5560380748039755,3072.8452594422956
2017,partial,violent,13,26,5.252344849508152,4950.170018336616
2017,partial,violent,14,21,2.780390440245838,7552.896059498467
2017,partial,violent,15,99,6.911038248934208,14324.90986651208
2017,partial,violent,16,294,17.463926574739222,16834.702020864977
2017,partial,violent,17,76,20.936025391008744,3630.1064113458337
2017,partial,violent,18,57,20.863938312618945,2731.9866051140116
2017,partial,violent,19,141,27.028462878699766,5216.722853711279
2017,partial,violent,20,13,4.641231884328434,2800.980499141995
2017,partial,violent,21,36,17.166465298972923,2097.1119780933527
2017,partial,violent,22,35,10.310254192559546,3394.6786709931894
2017,partial,violent,23,20,12.773738646933536,1565.7123221948182
2017,partial,violent,24,30,12.121529071144373,2474.9352844779137
2017,partial,violent,25,65,10.366469651483298,6270.2156264644445
2017,partial,violent,26,5,2.2727320201077763,2199.9954045452714
2017,partial,violent,27,21,3.593836334277383,5843.337883727667
2017,partial,violent,28,6,3.5704079972964236,1680.4802152984496
2017,partial,violent,29,15,15.584167936562434,962.5152950776474
2017,partial,violent,30,109,22.633998524541497,4815.764208953798
2017,partial,violent,31,34,9.865833981074019,3446.2367869987897
2017,partial,violent,32,21,11.534960258069614,1820.5524362607878
2017,partial,violent,33,67,64.29656823599755,1042.0462839335316
2017,partial,violent,34,30,38.807918594127365,773.0381088909977
2017,partial,violent,35,126,22.55229608565817,5587.01426770146
2017,partial,violent,36,170,26.97324447207658,6302.5417715688045
2017,partial,violent,37,39,7.486921906789635,5209.083316954625
2017,partial,violent,38,114,6.765562734628595,16850.03960077213
2017,partial,violent,39,31,14.657767098001576,2114.9196731490233
2017,partial,violent,41,7,7.945943964493597,880.9526006324055
2017,partial,violent,42,9,5.3061058676243436,1696.1591465625038
2017,partial,violent,43,5,3.827117664102751,1306.4662335570563
2017,partial,violent,44,1,0.4755414415584375,2102.8661492104966
2017,partial,violent,45,3,3.5495854559826623,845.1691154367445
2017,partial,violent,46,35,8.24901286377016,4242.931921432775
2017,partial,violent,47,30,11.980864158655775,2503.993001066288
2017,partial,violent,48,109,14.737781849935345,7395.956943173113
2017,partial,violent,49,10,11.436550629470345,874.3895186570888
2017,partial,violent,50,200,38.66339318649009,5172.851721402579
2017,partial,violent,51,80,33.659540577403256,2376.7406990012987
2017,partial,violent,52,67,27.517649619936307,2434.800970481834
2017,partial,violent,53,55,40.72931359732532,1350.3787602158811
2017,partial,violent,54,30,20.8061040474582,1441.884551359099
2017,partial,violent,55,89,27.843312436702963,3196.4587619496197
2017,partial,violent,56,116,24.36976456373167,4759.996745009064
2017,partial,violent,57,46,31.289895641218564,1470.12315181402
2017,partial,violent,58,30,14.01895980047847,2139.959057374292
2017,partial,violent,59,158,28.76558876644982,5492.673947431252
2017,partial,violent,60,50,25.05988734080942,1995.2204620878804
2017,partial,violent,61,84,39.405724835933576,2131.6699629238
2017,partial,violent,62,71,51.54382802054367,1377.4685103268182
2017,partial,violent,63,53,49.834027251434414,1063.5303410778317
2017,partial,violent,64,63,13.34849760077176,4719.6322675562815
2017,partial,violent,65,62,37.5248579636836,1652.2380993421305
2017,partial,violent,66,56,82.93789659585856,675.2040056293918
2017,partial,violent,67,70,60.091885132604844,1164.8827432444648
2017,partial,violent,68,104,32.39087360887399,3210.780951937881
2017,partial,violent,69,113,35.052320652850504,3223.752319257946
2017,partial,violent,70,55,16.591095571002285,3315.0312325443015
2017,partial,violent,71,93,26.70846951068162,3482.0415285423283
2017,partial,violent,72,91,24.638762140181946,3693.3673648966846
2017,partial,violent,73,62,16.00478743478907,3873.8408899597553
2017,partial,violent,74,167,29.634580318374642,5635.308420293478
2017,partial,violent,75,9,13.41445442806415,670.9180793198159
2017,partial,violent,76,113,32.087314314187566,3521.6409479940958
2017,partial,violent,77,44,12.535662672848499,3509.9859615161304
2017,partial,violent,78,111,45.611126919877606,2433.6166960967043
2017,partial,violent,79,30,10.59674113904584,2831.0590592289664
2018,full,homicide,1,4,0.4739308091438996,8440.050578744882
2018,full,homicide,2,3,0.7673240762856421,3909.6909542080202
2018,full,homicide,4,1,0.10732410007904669,9317.571722133955
2018,full,homicide,5,3,0.25320559041830937,11848.07963775143
2018,full,homicide,8,2,0.2453929026438765,8150.194966732496
2018,full,homicide,14,2,0.2647990895472227,7552.896059498467
2018,full,homicide,15,5,0.34904233580475796,14324.90986651208
2018,full,homicide,16,4,0.23760444319373095,16834.702020864977
2018,full,homicide,17,5,1.377370091513733,3630.1064113458337
2018,full,homicide,19,9,1.7252210348106232,5216.722853711279
2018,full,homicide,21,2,0.9536925166096066,2097.1119780933527
2018,full,homicide,22,1,0.29457869121598707,3394.6786709931894
2018,full,homicide,25,2,0.31896829696871687,6270.2156264644445
2018,full,homicide,27,1,0.17113506353701824,5843.337883727667
2018,full,homicide,30,1,0.20765136261047243,4815.764208953798
2018,full,homicide,31,1,0.2901715876786476,3446.2367869987897
2018,full,homicide,33,2,1.919300544358136,1042.0462839335316
2018,full,homicide,35,4,0.7159459074812119,5587.01426770146
2018,full,homicide,36,2,0.3173322879067833,6302.5417715688045
2018,full,homicide,37,2,0.38394471316869927,5209.083316954625
2018,full,homicide,38,1,0.05934704153182978,16850.03960077213
2018,full,homicide,39,1,0.4728311967097283,2114.9196731490233
2018,full,homicide,48,2,0.2704180155951439,7395.956943173113
2018,full,homicide,50,12,2.3198035911894057,5172.851721402579
2018,full,homicide,51,4,1.682977028870163,2376.7406990012987
2018,full,homicide,52,1,0.41071118835725834,2434.800970481834
2018,full,homicide,53,5,3.70266487248412,1350.3787602158811
2018,full,homicide,54,1,0.69353680158194,1441.884551359099
2018,full,homicide,55,5,1.5642310357698292,3196.4587619496197
2018,full,homicide,56,10,2.100841772735489,4759.996745009064
2018,full,homicide,57,6,4.081290735811116,1470.12315181402
2018,full,homicide,58,4,1.869194640063796,2139.959057374292
2018,full,homicide,59,6,1.0923641303715121,5492.673947431252
2018,full,homicide,60,2,1.002395493632377,1995.2204620878804
2018,full,homicide,62,1,0.7259694087400517,1377.4685103268182
2018,full,homicide,63,4,3.7610586604856158,1063.5303410778317
2018,full,homicide,64,2,0.4237618285959288,4719.6322675562815
2018,full,homicide,65,2,1.2104792891510838,1652.2380993421305
2018,full,homicide,66,3,4.443101603349566,675.2040056293918
2018,full,homicide,67,6,5.15073301136613,1164.8827432444648
2018,full,homicide,68,7,2.180154954443441,3210.780951937881
2018,full,homicide,69,8,2.481580223210655,3223.752319257946
2018,full,homicide,70,1,0.3016562831091324,3315.0312325443015
2018,full,homicide,71,7,2.0103149094061434,3482.0415285423283
2018,full,homicide,72,6,1.6245337674845242,3693.3673648966846
2018,full,homicide,73,3,0.7744251984575357,3873.8408899597553
2018,full,homicide,74,12,2.1294309210808127,5635.308420293478
2018,full,homicide,76,5,1.4197926687693612,3521.6409479940958
2018,full,homicide,77,2,0.5698028487658409,3509.9859615161304
2018,full,homicide,78,6,2.465466319993384,2433.6166960967043
2018,full,part 1,1,888,105.21263962994571,8440.050578744882
2018,full,part 1,2,293,74.94198478389771,3909.6909542080202
2018,full,part 1,3,173,50.62192293419352,3417.491671047208
2018,full,part 1,4,270,28.977507021342607,9317.571722133955
2018,full,part 1,5,583,49.206286404624784,11848.07963775143
2018,full,part 1,6,200,29.492043123385233,6781.49015187806
2018,full,part 1,7,185,27.441138636612568,6741.702756939136
2018,full,part 1,8,221,27.115915742148356,8150.194966732496
2018,full,part 1,9,218,23.07875936229869,9445.915032855853
2018,full,part 1,10,89,32.90966428770214,2704.3727709266846
2018,full,part 1,11,79,35.42622319307322,2229.986515058332
2018,full,part 1,12,152,49.46555624072888,3072.8452594422956
2018,full,part 1,13,199,40.200639425081626,4950.170018336616
2018,full,part 1,14,263,34.821080275459785,7552.896059498467
2018,full,part 1,15,733,51.16960642897752,14324.90986651208
2018,full,part 1,16,1153,68.48948075059295,16834.702020864977
2018,full,part 1,17,349,96.14043238765856,3630.1064113458337
2018,full,part 1,18,231,84.55385526692942,2731.9866051140116
2018,full,part 1,19,505,96.80406917548497,5216.722853711279
2018,full,part 1,20,68,24.277212933410272,2800.980499141995
2018,full,part 1,21,357,170.2341142148148,2097.1119780933527
2018,full,part 1,22,208,61.2723677729253,3394.6786709931894
2018,full,part 1,23,141,90.05485746088142,1565.7123221948182
2018,full,part 1,24,196,79.19398993147657,2474.9352844779137
2018,full,part 1,25,493,78.6256852027887,6270.2156264644445
2018,full,part 1,26,78,35.454619513681315,2199.9954045452714
2018,full,part 1,27,202,34.56928283447769,5843.337883727667
2018,full,part 1,28,103,61.292003953588605,1680.4802152984496
2018,full,part 1,29,118,122.59545443429114,962.5152950776474
2018,full,part 1,30,359,74.54683917715961,4815.764208953798
2018,full,part 1,31,238,69.06083786751813,3446.2367869987897
2018,full,part 1,32,147,80.7447218064873,1820.5524362607878
2018,full,part 1,33,227,217.84061178464844,1042.0462839335316
2018,full,part 1,34,132,170.75484181416036,773.0381088909977
2018,full,part 1,35,1479,264.7209992911781,5587.01426770146
2018,full,part 1,36,770,122.17293084411158,6302.5417715688045
2018,full,part 1,37,411,78.9006385561677,5209.083316954625
2018,full,part 1,38,1235,73.29359629180978,16850.03960077213
2018,full,part 1,39,209,98.8217201123332,2114.9196731490233
2018,full,part 1,40,17,37.86430426307355,448.97167215558557
2018,full,part 1,41,64,72.64863053251288,880.9526006324055
2018,full,part 1,42,100,58.95673186249271,1696.1591465625038
2018,full,part 1,43,82,62.76472969128512,1306.4662335570563
2018,full,part 1,44,69,32.81235946753219,2102.8661492104966
2018,full,part 1,45,27,31.94626910384396,845.1691154367445
2018,full,part 1,46,231,54.44348490088305,4242.931921432775
2018,full,part 1,47,166,66.29411501122861,2503.993001066288
2018,full,part 1,48,444,60.03279946212195,7395.956943173113
2018,full,part 1,49,85,97.21068035049791,874.3895186570888
2018,full,part 1,50,630,121.7896885374438,5172.851721402579
2018,full,part 1,51,249,104.76532004716763,2376.7406990012987
2018,full,part 1,52,253,103.90993065438636,2434.800970481834
2018,full,part 1,53,190,140.70126515439657,1350.3787602158811
2018,full,part 1,54,116,80.45026898350503,1441.884551359099
2018,full,part 1,55,272,85.09416834587871,3196.4587619496197
2018,full,part 1,56,422,88.65552280943763,4759.996745009064
2018,full,part 1,57,126,85.70710545203346,1470.12315181402
2018,full,part 1,58,194,90.6559400430941,2139.959057374292
2018,full,part 1,59,550,100.1333786173886,5492.673947431252
2018,full,part 1,60,207,103.747933590951,1995.2204620878804
2018,full,part 1,61,266,124.78479531378966,2131.6699629238
2018,full,part 1,62,260,188.75204627241342,1377.4685103268182
2018,full,part 1,63,224,210.61928498719448,1063.5303410778317
2018,full,part 1,64,227,48.09696754563793,4719.6322675562815
2018,full,part 1,65,265,160.38850581251862,1652.2380993421305
2018,full,part 1,66,144,213.26887696077918,675.2040056293918
2018,full,part 1,67,183,157.09735684666694,1164.8827432444648
2018,full,part 1,68,401,124.89173381883143,3210.780951937881
2018,full,part 1,69,510,158.20073922967924,3223.752319257946
2018,full,part 1,70,211,63.64947573602694,3315.0312325443015
2018,full,part 1,71,328,94.19761289788786,3482.0415285423283
2018,full,part 1,72,353,95.57673665367284,3693.3673648966846
2018,full,part 1,73,272,70.21455132681656,3873.8408899597553
2018,full,part 1,74,663,117.6510583897149,5635.308420293478
2018,full,part 1,75,44,65.58177720386918,670.9180793198159
2018,full,part 1,76,325,92.28652347000848,3521.6409479940958
2018,full,part 1,77,340,96.86648429019294,3509.9859615161304
2018,full,part 1,78,350,143.81886866628074,2433.6166960967043
2018,full,part 1,79,110,38.85471750983475,2831.0590592289664
2018,full,violent,1,158,18.720266961184034,8440.050578744882
2018,full,violent,2,77,19.694651291331486,3909.6909542080202
2018,full,violent,3,22,6.437469968510158,3417.491671047208
2018,full,violent,4,25,2.683102501976167,9317.571722133955
2018,full,violent,5,100,8.44018634727698,11848.07963775143
2018,full,violent,6,20,2.949204312338523,6781.49015187806
2018,full,violent,7,21,3.1149400614533187,6741.702756939136
2018,full,violent,8,12,1.4723574158632593,8150.194966732496
2018,full,violent,9,20,2.1173173726879533,9445.915032855853
2018,full,violent,10,19,7.025658668161132,2704.3727709266846
2018,full,violent,11,10,4.4843320497561034,2229.986515058332
2018,full,violent,12,15,4.881469365861403,3072.8452594422956
2018,full,violent,13,18,3.6362387419671824,4950.170018336616
2018,full,violent,14,35,4.633984067076398,7552.896059498467
2018,full,violent,15,138,9.633568468211319,14324.90986651208
2018,full,violent,16,312,18.53314656911101,16834.702020864977
2018,full,violent,17,112,30.85309004990762,3630.1064113458337
2018,full,violent,18,42,15.373428230350804,2731.9866051140116
2018,full,violent,19,128,24.536476939528868,5216.722853711279
2018,full,violent,20,9,3.2131605353043007,2800.980499141995
2018,full,violent,21,51,24.31915917354497,2097.1119780933527
2018,full,violent,22,29,8.542782045263625,3394.6786709931894
2018,full,violent,23,26,16.605860241013595,1565.7123221948182
2018,full,violent,24,37,14.949885854411393,2474.9352844779137
2018,full,violent,25,99,15.788930699951486,6270.2156264644445
2018,full,violent,26,3,1.363639212064666,2199.9954045452714
2018,full,violent,27,23,3.93610646135142,5843.337883727667
2018,full,violent,28,7,4.165475996845827,1680.4802152984496
2018,full,violent,29,21,21.817835111187403,962.5152950776474
2018,full,violent,30,94,19.519228085384412,4815.764208953798
2018,full,violent,31,44,12.767549857860493,3446.2367869987897
2018,full,violent,32,16,8.78854114900542,1820.5524362607878
2018,full,violent,33,93,89.24747531265332,1042.0462839335316
2018,full,violent,34,34,43.98230774001101,773.0381088909977
2018,full,violent,35,172,30.78567402169211,5587.01426770146
2018,full,violent,36,117,18.563938842546822,6302.5417715688045
2018,full,violent,37,77,14.78187145699492,5209.083316954625
2018,full,violent,38,146,8.664668063647149,16850.03960077213
2018,full,violent,39,58,27.424209409164238,2114.9196731490233
2018,full,violent,40,2,4.454624030949829,448.97167215558557
2018,full,violent,41,10,11.351348520705137,880.9526006324055
2018,full,violent,42,13,7.664375142124052,1696.1591465625038
2018,full,violent,43,3,2.2962705984616503,1306.4662335570563
2018,full,violent,44,7,3.3287900909090626,2102.8661492104966
2018,full,violent,45,3,3.5495854559826623,845.1691154367445
2018,full,violent,46,51,12.019990172922231,4242.931921432775
2018,full,violent,47,28,11.182139881412057,2503.993001066288
2018,full,violent,48,120,16.225080935708636,7395.956943173113
2018,full,violent,49,23,26.30406644778179,874.3895186570888
2018,full,violent,50,234,45.236170028193406,5172.851721402579
2018,full,violent,51,70,29.452098005227853,2376.7406990012987
2018,full,violent,52,62,25.464093678150018,2434.800970481834
2018,full,violent,53,63,46.65357739329991,1350.3787602158811
2018,full,violent,54,41,28.43500886485954,1441.884551359099
2018,full,violent,55,90,28.15615864385693,3196.4587619496197
2018,full,violent,56,138,28.991616463749747,4759.996745009064
2018,full,violent,57,40,27.208604905407444,1470.12315181402
2018,full,violent,58,54,25.234127640861246,2139.959057374292
2018,full,violent,59,162,29.493831520030827,5492.673947431252
2018,full,violent,60,57,28.568271568522743,1995.2204620878804
2018,full,violent,61,102,47.84980872934791,2131.6699629238
2018,full,violent,62,71,51.54382802054367,1377.4685103268182
2018,full,violent,63,80,75.22117320971232,1063.5303410778317
2018,full,violent,64,68,14.407902172261583,4719.6322675562815
2018,full,violent,65,77,46.60345263231673,1652.2380993421305
2018,full,violent,66,57,84.41893046364176,675.2040056293918
2018,full,violent,67,73,62.667251638287915,1164.8827432444648
2018,full,violent,68,134,41.73439484220302,3210.780951937881
2018,full,violent,69,158,49.01120940841043,3223.752319257946
2018,full,violent,70,41,12.367907607474429,3315.0312325443015
2018,full,violent,71,101,29.00597226428864,3482.0415285423283
2018,full,violent,72,106,28.70009655889326,3693.3673648966846
2018,full,violent,73,82,21.167622091172642,3873.8408899597553
2018,full,violent,74,224,39.7493771935085,5635.308420293478
2018,full,violent,75,13,19.37643417387044,670.9180793198159
2018,full,violent,76,121,34.35898258421854,3521.6409479940958
2018,full,violent,77,59,16.809184038592303,3509.9859615161304
2018,full,violent,78,142,58.34936957317676,2433.6166960967043
2018,full,violent,79,28,9.890291729776116,2831.0590592289664
2018,partial,homicide,1,2,0.2369654045719498,8440.050578744882
2018,partial,homicide,2,2,0.5115493841904281,3909.6909542080202
2018,partial,homicide,4,1,0.10732410007904669,9317.571722133955
2018,partial,homicide,5,3,0.25320559041830937,11848.07963775143
2018,partial,homicide,8,2,0.2453929026438765,8150.194966732496
2018,partial,homicide,14,2,0.2647990895472227,7552.896059498467
2018,partial,homicide,15,3,0.2094254014828548,14324.90986651208
2018,partial,homicide,16,3,0.1782033323952982,16834.702020864977
2018,partial,homicide,17,5,1.377370091513733,3630.1064113458337
2018,partial,homicide,19,8,1.5335298087205542,5216.722853711279
2018,partial,homicide,21,1,0.4768462583048033,2097.1119780933527
2018,partial,homicide,25,1,0.15948414848435843,6270.2156264644445
2018,partial,homicide,30,1,0.20765136261047243,4815.764208953798
2018,partial,homicide,33,2,1.919300544358136,1042.0462839335316
2018,partial,homicide,35,3,0.5369594306109089,5587.01426770146
2018,partial,homicide,36,1,0.15866614395339165,6302.5417715688045
2018,partial,homicide,37,2,0.38394471316869927,5209.083316954625
2018,partial,homicide,38,1,0.05934704153182978,16850.03960077213
2018,partial,homicide,39,1,0.4728311967097283,2114.9196731490233
2018,partial,homicide,48,1,0.13520900779757195,7395.956943173113
2018,partial,homicide,50,11,2.126486625256955,5172.851721402579
2018,partial,homicide,51,3,1.2622327716526223,2376.7406990012987
2018,partial,homicide,52,1,0.41071118835725834,2434.800970481834
2018,partial,homicide,53,2,1.4810659489936482,1350.3787602158811
2018,partial,homicide,54,1,0.69353680158194,1441.884551359099
2018,partial,homicide,55,4,1.2513848286158635,3196.4587619496197
2018,partial,homicide,56,9,1.89075759546194,4759.996745009064
2018,partial,homicide,57,5,3.4010756131759305,1470.12315181402
2018,partial,homicide,58,4,1.869194640063796,2139.959057374292
2018,partial,homicide,59,6,1.0923641303715121,5492.673947431252
2018,partial,homicide,60,1,0.5011977468161884,1995.2204620878804
2018,partial,homicide,62,1,0.7259694087400517,1377.4685103268182
2018,partial,homicide,63,3,2.820793995364212,1063.5303410778317
2018,partial,homicide,65,2,1.2104792891510838,1652.2380993421305
2018,partial,homicide,66,3,4.443101603349566,675.2040056293918
2018,partial,homicide,67,3,2.575366505683065,1164.8827432444648
2018,partial,homicide,68,3,0.9343521233329034,3210.780951937881
2018,partial,homicide,69,8,2.481580223210655,3223.752319257946
2018,partial,homicide,70,1,0.3016562831091324,3315.0312325443015
2018,partial,homicide,71,4,1.1487513768035107,3482.0415285423283
2018,partial,homicide,72,5,1.3537781395704367,3693.3673648966846
2018,partial,homicide,73,1,0.2581417328191785,3873.8408899597553
2018,partial,homicide,74,10,1.774525767567344,5635.308420293478
2018,partial,homicide,76,3,0.8518756012616167,3521.6409479940958
2018,partial,homicide,77,2,0.5698028487658409,3509.9859615161304
2018,partial,homicide,78,3,1.232733159996692,2433.6166960967043
2018,partial,part 1,1,669,79.26492782931722,8440.050578744882
2018,partial,part 1,2,215,54.99155880047102,3909.6909542080202
2018,partial,part 1,3,120,35.11347255550996,3417.491671047208
2018,partial,part 1,4,199,21.35749591573029,9317.571722133955
2018,partial,part 1,5,458,38.65605347052856,11848.07963775143
2018,partial,part 1,6,152,22.413952773772778,6781.49015187806
2018,partial,part 1,7,149,22.10124138840688,6741.702756939136
2018,partial,part 1,8,168,20.61300382208563,8150.194966732496
2018,partial,part 1,9,178,18.844124616922787,9445.915032855853
2018,partial,part 1,10,72,26.623548637242184,2704.3727709266846
2018,partial,part 1,11,61,27.354425503512232,2229.986515058332
2018,partial,part 1,12,108,35.1465794342021,3072.8452594422956
2018,partial,part 1,13,152,30.706016043278428,4950.170018336616
2018,partial,part 1,14,207,27.406705768137545,7552.896059498467
2018,partial,part 1,15,554,38.67389080716718,14324.90986651208
2018,partial,part 1,16,861,51.144356397450586,16834.702020864977
2018,partial,part 1,17,265,73.00061485022785,3630.1064113458337
2018,partial,part 1,18,174,63.689916954310476,2731.9866051140116
2018,partial,part 1,19,390,74.759578175127,5216.722853711279
2018,partial,part 1,20,52,18.564927537313736,2800.980499141995
2018,partial,part 1,21,264,125.8874121924681,2097.1119780933527
2018,partial,part 1,22,149,43.89222499118207,3394.6786709931894
2018,partial,part 1,23,95,60.67525857293429,1565.7123221948182
